method,setup,status,iters_to_1e-06,time_to_1e-06_s,final_f,final_gap,final_grad_norm,total_time_s,n_f_evals,n_grad_evals,n_sample_grads,rmse_test
gradient_descent,GD ($t = 2/L$),stalled,20.0,0.4646698779979488,0.02374307798928865,4.8782720935697244e-08,0.0005116410289511174,4.989692564995494,221,221,35360000,0.206011594984053
gradient_descent,"GD bt ($\alpha = 0.5$, $\beta = 0.5$)",stalled,15.0,0.5626832110065152,0.02374302920656771,-3.469446951953614e-18,7.716769092825975e-10,7.227444670017576,544,166,87040000,0.2060140939672887
sgd,"SGD ($B = 256$, $\eta = 1/L_B = 0.0675$)",max_iter,,,0.02456676281451078,0.0008237336079430675,0.04375370588744154,1.862781834010093,0,0,4800000,0.20985518955486718
sgd,"SGD ($B = 64$, $\eta_k = \eta_0 \cdot 2^{-\lfloor k/5 \rfloor}$)",max_iter,,,0.02374882580345832,5.796596890605271e-06,0.0038124415198070123,2.606335319018399,0,0,4800000,0.20603859457472393
accelerated_gradient,AGD ($\beta_k = (k-1)/(k+2)$) + restart,converged,20.0,0.5484268799991696,0.02374302920656771,-3.469446951953614e-18,3.205723216210643e-11,2.9694800509969355,115,116,18560000,0.20601409395342019
newton,"Newton ($t = 1$, cached factor)",converged,1.0,0.13298515999485971,0.023743029206567713,0.0,5.6172660125219566e-15,0.1329991090024123,2,2,480000,0.2060140939539365
lbfgs,L-BFGS ($m = 20$),stalled,8.0,0.2817334450155613,0.023743029206567713,0.0,4.016494625675329e-09,1.4920052150046104,93,38,14880000,0.20601409394807607
